institution,category,herd_rank,rd_thousands,scope_note,unitid,ipeds_name,city,state,fte12mn,unduplicated_headcount,match_type,match_score,alternatives
Villanova University,US national university,266,33090,Campus/institution as reported by NSF HERD.,216597,Villanova University,Villanova,PA,9801,11176,Exact normalized name,1.0,
Fordham University,US national university,279,28249,Campus/institution as reported by NSF HERD.,191241,Fordham University,Bronx,NY,16341,17965,Exact normalized name,1.0,
Texas Christian University,US national university,282,27659,Campus/institution as reported by NSF HERD.,228875,Texas Christian University,Fort Worth,TX,12512,13345,Exact normalized name,1.0,
Rutgers University—Newark,US national university,288,26222,Campus/institution as reported by NSF HERD.,186399,Rutgers University-Newark,Newark,NJ,9623,12739,Fuzzy name match,0.9795918367346939,Rutgers University-Newark (0.980) | Rutgers University-New Brunswick (0.821) | Rutgers University-Camden (0.776)
Pepperdine University,US national university,367,10870,Campus/institution as reported by NSF HERD.,121150,Pepperdine University,Malibu,CA,10617,11790,Exact normalized name,1.0,
Wesleyan University,Liberal arts college,368,10819,Campus/institution as reported by NSF HERD.,130697,Wesleyan University,Middletown,CT,3704,4158,Exact normalized name,1.0,
Yeshiva University,US national university,375,10290,Campus/institution as reported by NSF HERD.,197708,Yeshiva University,New York,NY,6981,7568,Exact normalized name,1.0,
Rutgers University—Camden,US national university,377,9849,Campus/institution as reported by NSF HERD.,186371,Rutgers University-Camden,Camden,NJ,5006,6622,Fuzzy name match,0.9795918367346939,Rutgers University-Camden (0.980) | Rutgers University-Newark (0.776) | Butler University (0.732)
Amherst College,Liberal arts college,388,8666,Campus/institution as reported by NSF HERD.,164465,Amherst College,Amherst,MA,2070,2049,Exact normalized name,1.0,
Santa Clara University,US national university,400,8011,Campus/institution as reported by NSF HERD.,122931,Santa Clara University,Santa Clara,CA,8500,10129,Exact normalized name,1.0,
Claremont McKenna College,Liberal arts college,406,7777,Campus/institution as reported by NSF HERD.,112260,Claremont McKenna College,Claremont,CA,1367,1419,Exact normalized name,1.0,
Smith College,Liberal arts college,411,7375,Campus/institution as reported by NSF HERD.,167835,Smith College,Northampton,MA,3162,3194,Exact normalized name,1.0,
Grinnell College,Liberal arts college,414,7131,Campus/institution as reported by NSF HERD.,153384,Grinnell College,Grinnell,IA,1730,1798,Exact normalized name,1.0,
Williams College,Liberal arts college,415,7074,Campus/institution as reported by NSF HERD.,168342,Williams College,Williamstown,MA,2256,2326,Exact normalized name,1.0,
Wellesley College,Liberal arts college,418,6989,Campus/institution as reported by NSF HERD.,168218,Wellesley College,Wellesley,MA,2688,2503,Exact normalized name,1.0,
Barnard College,Liberal arts college,429,6361,Campus/institution as reported by NSF HERD.,189097,Barnard College,New York,NY,3289,3711,Exact normalized name,1.0,
Swarthmore College,Liberal arts college,435,6067,Campus/institution as reported by NSF HERD.,216287,Swarthmore College,Swarthmore,PA,1714,1740,Exact normalized name,1.0,
Pomona College,Liberal arts college,457,5522,Campus/institution as reported by NSF HERD.,121345,Pomona College,Claremont,CA,1829,1763,Exact normalized name,1.0,
Carleton College,Liberal arts college,466,4993,Campus/institution as reported by NSF HERD.,173258,Carleton College,Northfield,MN,1993,2106,Exact normalized name,1.0,
Colgate University,Liberal arts college,474,4730,Campus/institution as reported by NSF HERD.,190099,Colgate University,Hamilton,NY,3098,3224,Exact normalized name,1.0,
Davidson College,Liberal arts college,481,4525,Campus/institution as reported by NSF HERD.,198385,Davidson College,Davidson,NC,2039,2080,Exact normalized name,1.0,
Harvey Mudd College,Liberal arts college,498,3900,Campus/institution as reported by NSF HERD.,115409,Harvey Mudd College,Claremont,CA,957,1016,Exact normalized name,1.0,
Vassar College,Liberal arts college,508,3775,Campus/institution as reported by NSF HERD.,197133,Vassar College,Poughkeepsie,NY,2465,2609,Exact normalized name,1.0,
Hamilton College,Liberal arts college,513,3664,Campus/institution as reported by NSF HERD.,191515,Hamilton College,Clinton,NY,2048,2102,Exact normalized name,1.0,
Middlebury College,Liberal arts college,518,3576,Campus/institution as reported by NSF HERD.,230959,Middlebury College,Middlebury,VT,3179,4726,Exact normalized name,1.0,
Bowdoin College,Liberal arts college,525,3406,Campus/institution as reported by NSF HERD.,161004,Bowdoin College,Brunswick,ME,1813,2018,Exact normalized name,1.0,
University of Richmond,Liberal arts college,543,2961,Campus/institution as reported by NSF HERD.,233374,University of Richmond,University of Richmond,VA,4028,4451,Exact normalized name,1.0,
Washington and Lee University,Liberal arts college,885,259,Campus/institution as reported by NSF HERD.,234207,Washington and Lee University,Lexington,VA,2267,2282,Exact normalized name,1.0,
