institution,category,herd_rank,rd_thousands,scope_note,unitid,ipeds_name,city,state,fte12mn,unduplicated_headcount,match_type,match_score,alternatives
"University of California, Davis",US national university,36,1005757,Campus/institution as reported by NSF HERD.,110644,University of California-Davis,Davis,CA,39661,41916,Exact normalized name,1.0,
Michigan State University,US national university,38,931848,Campus/institution as reported by NSF HERD.,171100,Michigan State University,East Lansing,MI,47526,55377,Exact normalized name,1.0,
Purdue University—Main Campus,US national university,39,931513,Campus/institution as reported by NSF HERD.,243780,Purdue University-Main Campus,West Lafayette,IN,51465,57417,Fuzzy name match,0.9824561403508771,Purdue University-Main Campus (0.982) | Ohio University-Main Campus (0.800) | Wright State University-Main Campus (0.762)
University of Illinois Urbana-Champaign,US national university,40,906751,Campus/institution as reported by NSF HERD.,145637,University of Illinois Urbana-Champaign,Champaign,IL,59472,62797,Exact normalized name,1.0,
Indiana University—Bloomington,US national university,41,896983,Campus/institution as reported by NSF HERD.,151351,Indiana University-Bloomington,Bloomington,IN,48858,62701,Fuzzy name match,0.9830508474576272,Indiana University-Bloomington (0.983) | Indiana University-Kokomo (0.815) | Indiana University-East (0.731)
Rutgers University—New Brunswick,US national university,45,836800,Campus/institution as reported by NSF HERD.,186380,Rutgers University-New Brunswick,New Brunswick,NJ,50200,57297,Fuzzy name match,0.9841269841269841,Rutgers University-New Brunswick (0.984) | Rutgers University-Newark (0.821) | Rutgers University-Camden (0.679)
University of Virginia,US national university,46,813772,Campus/institution as reported by NSF HERD.,234076,University of Virginia-Main Campus,Charlottesville,VA,27142,29758,Verified UNITID override,1.0,
Boston University,US national university,48,784355,Campus/institution as reported by NSF HERD.,164988,Boston University,Boston,MA,37331,45380,Exact normalized name,1.0,
University of Colorado Boulder,US national university,51,717920,Campus/institution as reported by NSF HERD.,126614,University of Colorado Boulder,Boulder,CO,37248,46985,Exact normalized name,1.0,
North Carolina State University,US national university,52,717004,Campus/institution as reported by NSF HERD.,199193,North Carolina State University at Raleigh,Raleigh,NC,32880,41029,Verified UNITID override,1.0,
University of Chicago,US national university,54,680753,Campus/institution as reported by NSF HERD.,144050,University of Chicago,Chicago,IL,17670,21145,Exact normalized name,1.0,
Virginia Tech,US national university,56,656916,Campus/institution as reported by NSF HERD.,233921,Virginia Polytechnic Institute and State University,Blacksburg,VA,39113,40548,Verified UNITID override,1.0,
"University of California, Irvine",US national university,57,644948,Campus/institution as reported by NSF HERD.,110653,University of California-Irvine,Irvine,CA,37955,38546,Exact normalized name,1.0,
Case Western Reserve University,US national university,58,642546,Campus/institution as reported by NSF HERD.,201645,Case Western Reserve University,Cleveland,OH,11977,12680,Exact normalized name,1.0,
University of Georgia,US national university,59,628117,Campus/institution as reported by NSF HERD.,139959,University of Georgia,Athens,GA,43488,45913,Exact normalized name,1.0,
University of Miami,US national university,61,559013,Campus/institution as reported by NSF HERD.,135726,University of Miami,Coral Gables,FL,19395,22399,Exact normalized name,1.0,
Princeton University,US national university,62,558624,Campus/institution as reported by NSF HERD.,186131,Princeton University,Princeton,NJ,8988,9042,Exact normalized name,1.0,
University at Buffalo—SUNY,US national university,65,541880,Campus/institution as reported by NSF HERD.,196088,University at Buffalo,Buffalo,NY,30422,35427,Exact normalized name,1.0,
University of Illinois Chicago,US national university,66,532181,Campus/institution as reported by NSF HERD.,145600,University of Illinois Chicago,Chicago,IL,33375,36493,Exact normalized name,1.0,
University of South Florida,US national university,69,521892,Campus/institution as reported by NSF HERD.,137351,University of South Florida,Tampa,FL,44095,56611,Exact normalized name,1.0,
Carnegie Mellon University,US national university,71,505262,Campus/institution as reported by NSF HERD.,211440,Carnegie Mellon University,Pittsburgh,PA,15059,16795,Exact normalized name,1.0,
University of Rochester,US national university,73,492372,Campus/institution as reported by NSF HERD.,195030,University of Rochester,Rochester,NY,11387,14407,Exact normalized name,1.0,
University of Delaware,US national university,77,465780,Campus/institution as reported by NSF HERD.,130943,University of Delaware,Newark,DE,24028,26917,Exact normalized name,1.0,
Florida State University,US national university,79,460733,Campus/institution as reported by NSF HERD.,134097,Florida State University,Tallahassee,FL,41957,46338,Exact normalized name,1.0,
California Institute of Technology,US national university,81,445173,Campus/institution as reported by NSF HERD.,110404,California Institute of Technology,,,2465,2548,Verified UNITID override,1.0,
University of Connecticut,US national university,82,433545,Campus/institution as reported by NSF HERD.,129020,University of Connecticut,Storrs,CT,29115,47445,Exact normalized name,1.0,
Dartmouth College,US national university,85,418429,NSF row combines Dartmouth College and Dartmouth Hitchcock Medical Center.,182670,Dartmouth College,Hanover,NH,7021,7434,Exact normalized name,1.0,
George Washington University,US national university,90,381582,Campus/institution as reported by NSF HERD.,131469,George Washington University,Washington,DC,22691,28729,Exact normalized name,1.0,
Georgetown University,US national university,91,376600,Campus/institution as reported by NSF HERD.,131496,Georgetown University,Washington,DC,17601,22644,Exact normalized name,1.0,
Brown University,US national university,93,374504,Campus/institution as reported by NSF HERD.,217156,Brown University,Providence,RI,11276,12261,Exact normalized name,1.0,
Northeastern University,US national university,99,346900,Campus/institution as reported by NSF HERD.,167358,Northeastern University,Boston,MA,30147,41654,Exact normalized name,1.0,
